,u,v,key,osmid,bearing,length,oneway,indexway,from,to,geometry
185,270329332,6063443302,0,27702347,22.9,51.007,TRUE,8709,6063443302,270329332,"LINESTRING (100.5660108 13.7217495, 100.5661942 13.7221722)"
186,270329332,270329331,0,328942767,200,147.112,TRUE,8712,270329331,270329332,"LINESTRING (100.5666609 13.7234151, 100.5661942 13.7221722)"
187,270329332,272555118,0,156261350,314.9,161.403,FALSE,8737,272555118,270329332,"LINESTRING (100.5672535 13.7211485, 100.5661942 13.7221722)"
188,304300664,5119581644,0,156261350,314.3,20.525,FALSE,8707,304300664,5119581644,"LINESTRING (100.565498 13.7227723, 100.565362 13.7229012)"
189,270329331,3472838331,0,328942767,200.5,60.25,TRUE,41360,3472838331,270329331,"LINESTRING (100.5668563 13.7239226, 100.5666609 13.7234151)"
190,5119581644,270329467,0,156261350,312.7,88.348,FALSE,8715,5119581644,270329467,"LINESTRING (100.565362 13.7229012, 100.5647611 13.7234402)"
191,304301867,3472942741,0,27702347,21.5,35.498,TRUE,35417,3472942741,304301867,"LINESTRING (100.5658765 13.7214186, 100.565997 13.7217156)"
192,3472838331,3472827593,0,328942767,200.5,58.454,TRUE,41366,3472827593,3472838331,"LINESTRING (100.5670458 13.724415, 100.5668563 13.7239226)"
193,270329467,304300736,0,156261422,185,8.528,TRUE,8744,304300736,270329467,"LINESTRING (100.564768 13.7235166, 100.5647611 13.7234402)"
194,270329467,5678756062,0,156261422,4.7,165.046,TRUE,8748,5678756062,270329467,"LINESTRING (100.5646346 13.721961, 100.5647611 13.7234402)"
195,270331957,4913333830,0,156261350,313.4,86.872,FALSE,8718,270331957,4913333830,"LINESTRING (100.5684796 13.7200438, 100.5678951 13.7205804)"
196,270331957,6296772386,0,693832668,197.9,111.682,TRUE,8725,6296772386,270331957,"LINESTRING (100.5687982 13.7209993, 100.5684796 13.7200438)"
197,270331957,6457542782,0,27702346,313.5,106.474,TRUE,8727,6457542782,270331957,"LINESTRING (100.5691946 13.7193847, 100.5684796 13.7200438)"
198,270331957,4913333835,0,453962283,20.4,80.457,TRUE,8730,4913333835,270331957,"LINESTRING (100.5682203 13.7193655, 100.5684796 13.7200438)"
199,4913333830,272555210,0,156261350,312.1,37.123,FALSE,8722,4913333830,272555210,"LINESTRING (100.5678951 13.7205804, 100.56764 13.7208041)"
200,6296772386,267086955,0,693832668,197.9,69.872,TRUE,9418,267086955,6296772386,"LINESTRING (100.5689975 13.7215971, 100.5687982 13.7209993)"
201,6457542782,272437239,0,27702346,313.5,107.016,TRUE,24843,272437239,6457542782,"LINESTRING (100.5699132 13.7187222, 100.5691946 13.7193847)"
202,4913333835,2295507651,0,453962283,20.4,33.709,TRUE,49380,2295507651,4913333835,"LINESTRING (100.5681117 13.7190813, 100.5682203 13.7193655)"
203,272555210,272555118,0,156261350,312.5,56.654,FALSE,8733,272555210,272555118,"LINESTRING (100.56764 13.7208041, 100.5672535 13.7211485)"
204,267086955,267086960,0,693832668,196.8,75.108,TRUE,9420,267086960,267086955,"LINESTRING (100.5691979 13.7222439, 100.5689975 13.7215971)"
205,272437239,267086935,0,170065517,22.1,58.32,TRUE,24838,267086935,272437239,"LINESTRING (100.5697102 13.7182362, 100.5699132 13.7187222)"
